ds,yhat,sku_id,qty_total,revenue,price,forecasted_revenue,abs_error,pct_error,weighted_error
2025-02-17,0.16981460763055317,4391268112,0,3447.0,0.0,0.0,0.16981460763055317,,585.3509525025167
2025-02-24,0.1810329522448778,4391268112,2,0.0,0.0,0.0,1.8189670477551223,0.9094835238775612,0.0
2025-02-03,0.11656954832402783,43913912032,0,0.0,0.0,0.0,0.11656954832402783,,0.0
2025-02-10,0.14342835566995513,43913912032,0,0.0,0.0,0.0,0.14342835566995513,,0.0
2025-02-17,0.12411259829186125,43913912032,0,0.0,0.0,0.0,0.12411259829186125,,0.0
2025-02-24,0.09253899981236383,43913912032,0,0.0,0.0,0.0,0.09253899981236383,,0.0
2025-02-03,0.17335584100470272,4709870548,0,0.0,0.0,0.0,0.17335584100470272,,0.0
2025-02-10,0.14429785386079186,4709870548,4,0.0,0.0,0.0,3.8557021461392083,0.9639255365348021,0.0
2025-02-17,0.1700131627309898,4709870548,4,0.0,0.0,0.0,3.82998683726901,0.9574967093172525,0.0
2025-02-24,0.18460061448728562,4709870548,2,0.0,0.0,0.0,1.8153993855127144,0.9076996927563572,0.0
2025-02-03,0.2696367330883628,42200461570,0,0.0,0.0,0.0,0.2696367330883628,,0.0
2025-02-10,0.2437544325509389,42200461570,0,0.0,0.0,0.0,0.2437544325509389,,0.0
2025-02-17,0.09207491455882044,42200461570,0,0.0,0.0,0.0,0.09207491455882044,,0.0
2025-02-24,0.04566741689088763,42200461570,0,0.0,0.0,0.0,0.04566741689088763,,0.0
2025-02-03,0.3075318945030524,42332432433,1,0.0,0.0,0.0,0.6924681054969476,0.6924681054969476,0.0
2025-02-10,0.40142778229591425,42332432433,1,0.0,0.0,0.0,0.5985722177040858,0.5985722177040858,0.0
2025-02-17,0.459621171949921,42332432433,1,0.0,0.0,0.0,0.540378828050079,0.540378828050079,0.0
2025-02-24,0.4352332550230492,42332432433,0,0.0,0.0,0.0,0.4352332550230492,,0.0
2025-02-03,0.30025483653395474,42332432797,0,0.0,0.0,0.0,0.30025483653395474,,0.0
2025-02-10,0.2984057676211681,42332432797,0,0.0,0.0,0.0,0.2984057676211681,,0.0
2025-02-17,0.3493240827480507,42332432797,0,0.0,0.0,0.0,0.3493240827480507,,0.0
2025-02-24,0.3676035958963395,42332432797,0,0.0,0.0,0.0,0.3676035958963395,,0.0
2025-02-03,0.5260646305489418,42332433059,0,0.0,0.0,0.0,0.5260646305489418,,0.0
2025-02-10,0.5448151364834798,42332433059,0,0.0,0.0,0.0,0.5448151364834798,,0.0
2025-02-17,0.451837938592727,42332433059,0,0.0,0.0,0.0,0.451837938592727,,0.0
2025-02-24,0.4015400169339037,42332433059,0,0.0,0.0,0.0,0.4015400169339037,,0.0
2025-02-03,0.12506573320588338,42332433314,0,0.0,0.0,0.0,0.12506573320588338,,0.0
2025-02-10,0.1516585547567963,42332433314,0,0.0,0.0,0.0,0.1516585547567963,,0.0
2025-02-17,0.223958702208086,42332433314,0,0.0,0.0,0.0,0.223958702208086,,0.0
2025-02-24,0.2620768499369922,42332433314,0,0.0,0.0,0.0,0.2620768499369922,,0.0
2025-02-03,0.6340092042394201,4233243369,0,0.0,0.0,0.0,0.6340092042394201,,0.0
2025-02-10,0.708521752938732,4233243369,0,0.0,0.0,0.0,0.708521752938732,,0.0
2025-02-17,0.9792012600274571,4233243369,0,0.0,0.0,0.0,0.9792012600274571,,0.0
2025-02-24,1.2154155009479453,4233243369,0,0.0,0.0,0.0,1.2154155009479453,,0.0
2025-02-03,0.13396254056113066,42332433924,1,0.0,0.0,0.0,0.8660374594388693,0.8660374594388693,0.0
2025-02-10,0.16586842826862624,42332433924,0,0.0,0.0,0.0,0.16586842826862624,,0.0
